Name,Image URL,Price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
Intel Core i7-12700K,//cdna.pcpartpicker.com/static/forever/images/product/3f7037db801def4db8418df8e7498e6a.256p.jpg,$214.98 ,Intel,BX8071512700K,Intel Core i7,Alder Lake,Alder Lake,LGA1700,12,3.6 GHz,5 GHz,2.7 GHz,3.8 GHz,12 MB,25 MB,125 W,Intel UHD Graphics 770,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 5700X,//cdna.pcpartpicker.com/static/forever/images/product/a0931f2db7bb9c37a199429c85a0d2e1.256p.jpg,$149.00 ,AMD,100-100000926WOF,AMD Ryzen 7,Zen 3,Vermeer,AM4,8,3.4 GHz,4.6 GHz,,,4 MB,32 MB,65 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i7-13700K,//cdna.pcpartpicker.com/static/forever/images/product/2f3405387f23ab827695d966ea9f9682.256p.jpg,$359.00 ,Intel,"BX8071513700K, i7-13700K",Intel Core i7,Raptor Lake,Raptor Lake,LGA1700,16,3.4 GHz,5.4 GHz,2.5 GHz,4.2 GHz,24 MB,30 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i5-12600K,//cdna.pcpartpicker.com/static/forever/images/product/3f727799b9fc5e83f0e8953759946bd2.256p.jpg,$175.34 ,Intel,BX8071512600K,Intel Core i5,Alder Lake,Alder Lake,LGA1700,10,3.7 GHz,4.9 GHz,2.8 GHz,3.6 GHz,9.5 MB,20 MB,125 W,Intel UHD Graphics 770,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
AMD Ryzen 7 5800X3D,//cdna.pcpartpicker.com/static/forever/images/product/f83c6c4ee8cb5a6801f35aae5fc5d018.256p.jpg,$317.91 ,AMD,100-100000651WOF,AMD Ryzen 7,Zen 3,Vermeer-X,AM4,8,3.4 GHz,4.5 GHz,,,4 MB,96 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
AMD Ryzen 9 7900X,//cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg,$396.58 ,AMD,100-100000589WOF,AMD Ryzen 9,Zen 4,Raphael,AM5,12,4.7 GHz,5.6 GHz,,,12 MB,64 MB,170 W,Radeon,128 GB,Yes,No,Boxed,5 nm,No,Yes
AMD Ryzen 5 5600G,//cdna.pcpartpicker.com/static/forever/images/product/1dd09dfdc581be6224a323d49d714c7f.256p.jpg,$132.99 ,AMD,100-100000252BOX,AMD Ryzen 5,Zen 3,Cezanne,AM4,6,3.9 GHz,4.4 GHz,,,3 MB,16 MB,65 W,Radeon Vega 7,128 GB,No,Yes,Boxed,7 nm,Yes,Yes
AMD Ryzen 9 5900X,//cdna.pcpartpicker.com/static/forever/images/product/1d7073a2deda3bd22963a7e248bbe3e4.256p.jpg,$261.99 ,AMD,100-100000061WOF,AMD Ryzen 9,Zen 3,Vermeer,AM4,12,3.7 GHz,4.8 GHz,,,6 MB,64 MB,105 W,None,128 GB,No,No,Boxed,7 nm,No,Yes
Intel Core i5-13600K,//cdna.pcpartpicker.com/static/forever/images/product/535b5631a223b77657804c8144c1277e.256p.jpg,$268.98 ,Intel,"BX8071513600K, i5-13600K",Intel Core i5,Raptor Lake,Raptor Lake,LGA1700,14,3.5 GHz,5.1 GHz,2.6 GHz,3.9 GHz,20 MB,24 MB,125 W,Intel UHD Graphics 770,192 GB,Yes,No,Boxed,10 nm,No,Yes: Hyper-Threading
Intel Core i7-12700KF,//cdna.pcpartpicker.com/static/forever/images/product/b69e4a2d3dd9f8fac9ed6bf1b631b0ce.256p.jpg,$228.90 ,Intel,BX8071512700KF,Intel Core i7,Alder Lake,Alder Lake,LGA1700,12,3.6 GHz,5 GHz,2.7 GHz,3.8 GHz,12 MB,25 MB,125 W,None,128 GB,No,No,Boxed,10 nm,No,Yes: Hyper-Threading
